Name,Type,County,Form of government,Population,Year,latitude,longitude
Milton,Town,Norfolk,Representative town meeting,"27,003",1662,42.2495435,-71.0661612
Monroe,Town,Franklin,Open town meeting,121,1822,42.7211156,-72.9849922621093
Monson,Town,Hampden,Open town meeting,"8,560",1775,42.1042612,-72.3189699
Montague,Town,Franklin,Representative town meeting,"8,437",1775,42.5356426,-72.535088
Monterey,Town,Berkshire,Open town meeting,961,1847,42.1792563,-73.2120526
Montgomery,Town,Hampden,Open town meeting,838,1780,42.2067573,-72.8050955
Mount Washington,Town,Berkshire,Open town meeting,167,1779,42.0968021,-73.4634425585553
Nahant,Town,Essex,Open town meeting,"3,410",1853,42.4264859,-70.9189371
Nantucket,Town,Nantucket,Open town meeting,"10,172",1671,41.2657181,-70.0683144
Natick,Town,Middlesex,Representative town meeting,"33,006",1781,42.2836393,-71.346996
Needham,Town,Norfolk,Representative town meeting,"28,886",1711,42.283431,-71.2328329
New Ashford,Town,Berkshire,Open town meeting,228,1835,42.605082,-73.2395502
New Bedford,City,Bristol,Mayor-council,"95,072",1787,41.6362152,-70.934205
New Braintree,Town,Worcester,Open town meeting,999,1775,42.3167581,-72.1259114
New Marlborough,Town,Berkshire,Open town meeting,"1,509",1775,42.1228687,-73.2287215
New Salem,Town,Franklin,Open town meeting,990,1775,42.5042551,-72.3320289
Newbury,Town,Essex,Open town meeting,"6,666",1635,42.7961518,-70.8610435
Newburyport,City,Essex,Mayor-council,"17,416",1764,42.8125913,-70.8772751
Newton,City,Middlesex,Mayor-aldermen,"85,146",1688,42.3370414,-71.2092214
Norfolk,Town,Norfolk,Open town meeting,"11,227",1870,42.1538607,-71.1828015
North Adams,City,Berkshire,Mayor-council,"13,708",1878,42.700915,-73.1087148
North Andover,Town,Essex,Open town meeting,"28,352",1855,42.6982489,-71.1334269
North Attleborough,Town,Bristol,Representative town meeting,"28,712",1887,41.96282195,-71.3427427907239
North Brookfield,Town,Worcester,Open town meeting,"4,680",1812,42.2667587,-72.0828545
North Reading,Town,Middlesex,Open town meeting,"14,892",1853,42.5750939,-71.0786653
Northampton,City,Hampshire,Mayor-council,"28,549",1656,42.3190227,-72.6306344
Northborough,Town,Worcester,Open town meeting,"14,155",1775,42.319538,-71.6411786
Northbridge,Town,Worcester,Open town meeting,"15,707",1775,42.1514847,-71.6495113
Northfield,Town,Franklin,Open town meeting,"3,032",1723,42.6959174,-72.4528653
Norton,Town,Bristol,Open town meeting,"19,031",1711,41.9667666,-71.1869939
Norwell,Town,Plymouth,Open town meeting,"10,506",1849,42.1617681,-70.7939307
Norwood,Town,Norfolk,Representative town meeting,"28,602",1872,42.194543,-71.1994976
Oak Bluffs,Town,Dukes,Open town meeting,"4,527",1880,41.453799,-70.5683123
Oakham,Town,Worcester,Open town meeting,"1,902",1775,42.3528688,-72.0453544
